"시점",전월비 (%),전월비 (%),전월비 (%),전월비 (%),전년동월비(%),전년동월비(%),전년동월비(%),전년동월비(%),전년누계비(%),전년누계비(%),전년누계비(%),전년누계비(%)
"시점",생활물가지수,신선식품지수,식료품및에너지제외지수,농산물및석유류제외지수,생활물가지수,신선식품지수,식료품및에너지제외지수,농산물및석유류제외지수,생활물가지수,신선식품지수,식료품및에너지제외지수,농산물및석유류제외지수
"1975.02",-,-,-,1.5,-,-,-,-,-,-,-,-
"1975.03",-,-,-,1.9,-,-,-,-,-,-,-,-
"1975.04",-,-,-,3.6,-,-,-,-,-,-,-,-
"1975.05",-,-,-,3.1,-,-,-,-,-,-,-,-
"1975.06",-,-,-,1.3,-,-,-,-,-,-,-,-
"1975.07",-,-,-,2.2,-,-,-,-,-,-,-,-
"1975.08",-,-,-,0.9,-,-,-,-,-,-,-,-
"1975.09",-,-,-,2.4,-,-,-,-,-,-,-,-
"1975.10",-,-,-,1.2,-,-,-,-,-,-,-,-
"1975.11",-,-,-,0.2,-,-,-,-,-,-,-,-
"1975.12",-,-,-,1.3,-,-,-,-,-,-,-,-
"1976.01",-,-,-,0.6,-,-,-,22.3,-,-,-,22.3
"1976.02",-,-,-,0.9,-,-,-,21.6,-,-,-,21.9
"1976.03",-,-,-,1.8,-,-,-,21.5,-,-,-,21.8
"1976.04",-,-,-,0.9,-,-,-,18.4,-,-,-,20.9
"1976.05",-,-,-,0.7,-,-,-,15.5,-,-,-,19.8
"1976.06",-,-,-,1.8,-,-,-,16.1,-,-,-,19.1
"1976.07",-,-,-,1.3,-,-,-,15.1,-,-,-,18.5
"1976.08",-,-,-,0.9,-,-,-,15.0,-,-,-,18.1
"1976.09",-,-,-,0.4,-,-,-,12.8,-,-,-,17.4
"1976.10",-,-,-,-0.5,-,-,-,10.8,-,-,-,16.7
"1976.11",-,-,-,0.7,-,-,-,11.3,-,-,-,16.2
"1976.12",-,-,-,0.3,-,-,-,10.3,-,-,-,15.6
"1977.01",-,-,-,0.3,-,-,-,9.9,-,-,-,9.9
"1977.02",-,-,-,2.0,-,-,-,11.1,-,-,-,10.5
"1977.03",-,-,-,1.7,-,-,-,10.9,-,-,-,10.6
"1977.04",-,-,-,0.5,-,-,-,10.4,-,-,-,10.6
"1977.05",-,-,-,1.2,-,-,-,11.0,-,-,-,10.7
"1977.06",-,-,-,0.8,-,-,-,9.9,-,-,-,10.5
"1977.07",-,-,-,0.5,-,-,-,8.9,-,-,-,10.3
"1977.08",-,-,-,0.2,-,-,-,8.2,-,-,-,10.0
"1977.09",-,-,-,0.3,-,-,-,8.1,-,-,-,9.8
"1977.10",-,-,-,-0.2,-,-,-,8.5,-,-,-,9.7
"1977.11",-,-,-,0.7,-,-,-,8.5,-,-,-,9.5
"1977.12",-,-,-,0.7,-,-,-,8.9,-,-,-,9.5
"1978.01",-,-,-,2.7,-,-,-,11.4,-,-,-,11.4
"1978.02",-,-,-,2.1,-,-,-,11.5,-,-,-,11.5
"1978.03",-,-,-,1.5,-,-,-,11.3,-,-,-,11.4
"1978.04",-,-,-,0.0,-,-,-,10.8,-,-,-,11.3
"1978.05",-,-,-,0.7,-,-,-,10.3,-,-,-,11.1
"1978.06",-,-,-,1.7,-,-,-,11.3,-,-,-,11.1
"1978.07",-,-,-,1.2,-,-,-,12.1,-,-,-,11.2
"1978.08",-,-,-,0.1,-,-,-,11.9,-,-,-,11.3
"1978.09",-,-,-,0.5,-,-,-,12.1,-,-,-,11.4
"1978.10",-,-,-,0.6,-,-,-,13.0,-,-,-,11.6
"1978.11",-,-,-,0.9,-,-,-,13.2,-,-,-,11.7
"1978.12",-,-,-,0.8,-,-,-,13.3,-,-,-,11.9
"1979.01",-,-,-,0.9,-,-,-,11.3,-,-,-,11.3
"1979.02",-,-,-,3.8,-,-,-,13.2,-,-,-,12.3
"1979.03",-,-,-,2.2,-,-,-,14.0,-,-,-,12.9
"1979.04",-,-,-,3.0,-,-,-,17.4,-,-,-,14.0
"1979.05",-,-,-,3.4,-,-,-,20.6,-,-,-,15.4
"1979.06",-,-,-,1.9,-,-,-,20.8,-,-,-,16.3
"1979.07",-,-,-,1.0,-,-,-,20.6,-,-,-,16.9
"1979.08",-,-,-,0.6,-,-,-,21.2,-,-,-,17.5
"1979.09",-,-,-,1.6,-,-,-,22.5,-,-,-,18.1
"1979.10",-,-,-,1.1,-,-,-,23.2,-,-,-,18.6
"1979.11",-,-,-,1.2,-,-,-,23.6,-,-,-,19.1
"1979.12",-,-,-,1.6,-,-,-,24.6,-,-,-,19.5
"1980.01",-,-,-,4.3,-,-,-,28.8,-,-,-,28.8
"1980.02",-,-,-,3.4,-,-,-,28.4,-,-,-,28.6
"1980.03",-,-,-,3.6,-,-,-,30.2,-,-,-,29.1
"1980.04",-,-,-,1.0,-,-,-,27.6,-,-,-,28.7
"1980.05",-,-,-,2.4,-,-,-,26.4,-,-,-,28.2
"1980.06",-,-,-,1.7,-,-,-,26.2,-,-,-,27.9
"1980.07",-,-,-,1.1,-,-,-,26.3,-,-,-,27.6
"1980.08",-,-,-,1.6,-,-,-,27.6,-,-,-,27.6
"1980.09",-,-,-,1.9,-,-,-,28.0,-,-,-,27.7
"1980.10",-,-,-,2.5,-,-,-,29.7,-,-,-,27.9
"1980.11",-,-,-,1.2,-,-,-,29.6,-,-,-,28.1
"1980.12",-,-,-,2.3,-,-,-,30.5,-,-,-,28.3
"1981.01",-,-,-,1.2,-,-,-,26.5,-,-,-,26.5
"1981.02",-,-,-,0.6,-,-,-,23.2,-,-,-,24.8
"1981.03",-,-,-,2.0,-,-,-,21.2,-,-,-,23.6
"1981.04",-,-,-,1.3,-,-,-,21.5,-,-,-,23.1
"1981.05",-,-,-,2.3,-,-,-,21.4,-,-,-,22.7
"1981.06",-,-,-,2.9,-,-,-,22.8,-,-,-,22.7
"1981.07",-,-,-,1.0,-,-,-,22.7,-,-,-,22.7
"1981.08",-,-,-,1.0,-,-,-,22.0,-,-,-,22.6
"1981.09",-,-,-,1.0,-,-,-,20.9,-,-,-,22.4
"1981.10",-,-,-,-0.2,-,-,-,17.7,-,-,-,21.9
"1981.11",-,-,-,-0.3,-,-,-,16.0,-,-,-,21.3
"1981.12",-,-,-,0.6,-,-,-,14.0,-,-,-,20.6
"1982.01",-,-,-,0.6,-,-,-,13.3,-,-,-,13.3
"1982.02",-,-,-,0.4,-,-,-,13.1,-,-,-,13.2
"1982.03",-,-,-,1.2,-,-,-,12.2,-,-,-,12.9
"1982.04",-,-,-,0.3,-,-,-,11.1,-,-,-,12.4
"1982.05",-,-,-,1.1,-,-,-,9.9,-,-,-,11.9
"1982.06",-,-,-,1.3,-,-,-,8.2,-,-,-,11.2
"1982.07",-,-,-,0.2,-,-,-,7.3,-,-,-,10.6
"1982.08",-,-,-,0.0,-,-,-,6.3,-,-,-,10.1
"1982.09",-,-,-,0.4,-,-,-,5.7,-,-,-,9.6
"1982.10",-,-,-,-0.1,-,-,-,5.8,-,-,-,9.2
"1982.11",-,-,-,0.0,-,-,-,6.1,-,-,-,8.9
"1982.12",-,-,-,0.9,-,-,-,6.4,-,-,-,8.7
"1983.01",-,-,-,0.6,-,-,-,6.4,-,-,-,6.4
"1983.02",-,-,-,0.5,-,-,-,6.5,-,-,-,6.5
"1983.03",-,-,-,0.3,-,-,-,5.6,-,-,-,6.2
"1983.04",-,-,-,-0.2,-,-,-,5.1,-,-,-,5.9
"1983.05",-,-,-,0.3,-,-,-,4.2,-,-,-,5.6
"1983.06",-,-,-,0.3,-,-,-,3.2,-,-,-,5.2
"1983.07",-,-,-,0.3,-,-,-,3.3,-,-,-,4.9
"1983.08",-,-,-,-0.1,-,-,-,3.1,-,-,-,4.6
"1983.09",-,-,-,0.4,-,-,-,3.1,-,-,-,4.5
"1983.10",-,-,-,0.1,-,-,-,3.4,-,-,-,4.4
"1983.11",-,-,-,-0.2,-,-,-,3.2,-,-,-,4.3
"1983.12",-,-,-,0.1,-,-,-,2.4,-,-,-,4.1
"1984.01",-,-,-,0.2,-,-,-,2.0,-,-,-,2.0
"1984.02",-,-,-,0.5,-,-,-,2.0,-,-,-,2.0
"1984.03",-,-,-,0.5,-,-,-,2.2,-,-,-,2.0
"1984.04",-,-,-,0.4,-,-,-,2.8,-,-,-,2.2
"1984.05",-,-,-,0.0,-,-,-,2.4,-,-,-,2.3
"1984.06",-,-,-,-0.1,-,-,-,2.0,-,-,-,2.2
"1984.07",-,-,-,0.2,-,-,-,1.9,-,-,-,2.2
"1984.08",-,-,-,0.2,-,-,-,2.2,-,-,-,2.2
"1984.09",-,-,-,0.6,-,-,-,2.4,-,-,-,2.2
"1984.10",-,-,-,-0.6,-,-,-,1.8,-,-,-,2.2
"1984.11",-,-,-,-0.1,-,-,-,1.9,-,-,-,2.1
"1984.12",-,-,-,0.0,-,-,-,1.7,-,-,-,2.1
"1985.01",-,-,-,0.2,-,-,-,1.8,-,-,-,1.8
"1985.02",-,-,-,0.6,-,-,-,1.9,-,-,-,1.9
"1985.03",-,-,-,0.0,-,-,-,1.5,-,-,-,1.8
"1985.04",-,-,-,0.2,-,-,-,1.3,-,-,-,1.6
"1985.05",-,-,-,0.6,-,-,-,1.9,-,-,-,1.7
"1985.06",-,-,-,0.3,-,-,-,2.3,-,-,-,1.8
"1985.07",-,-,-,0.2,-,-,-,2.4,-,-,-,1.9
"1985.08",-,-,-,0.4,-,-,-,2.6,-,-,-,2.0
"1985.09",-,-,-,0.4,-,-,-,2.4,-,-,-,2.0
"1985.10",-,-,-,-0.1,-,-,-,2.8,-,-,-,2.1
"1985.11",-,-,-,-0.2,-,-,-,2.7,-,-,-,2.2
"1985.12",-,-,-,0.5,-,-,-,3.1,-,-,-,2.2
"1986.01",-,-,-,0.6,-,-,-,3.6,-,-,-,3.6
"1986.02",-,-,-,0.3,-,-,-,3.2,-,-,-,3.4
"1986.03",-,-,-,0.2,-,-,-,3.4,-,-,-,3.4
"1986.04",-,-,-,0.3,-,-,-,3.5,-,-,-,3.4
"1986.05",-,-,-,0.7,-,-,-,3.6,-,-,-,3.5
"1986.06",-,-,-,0.8,-,-,-,4.2,-,-,-,3.6
"1986.07",-,-,-,0.3,-,-,-,4.3,-,-,-,3.7
"1986.08",-,-,-,0.0,-,-,-,3.9,-,-,-,3.7
"1986.09",-,-,-,0.3,-,-,-,3.8,-,-,-,3.7
"1986.10",-,-,-,-0.4,-,-,-,3.6,-,-,-,3.7
"1986.11",-,-,-,0.1,-,-,-,3.9,-,-,-,3.7
"1986.12",-,-,-,0.0,-,-,-,3.4,-,-,-,3.7
"1987.01",-,-,-,0.2,-,-,-,3.0,-,-,-,3.0
"1987.02",-,-,-,0.2,-,-,-,2.9,-,-,-,2.9
"1987.03",-,-,-,0.5,-,-,-,3.2,-,-,-,3.0
"1987.04",-,-,-,0.6,-,-,-,3.5,-,-,-,3.2
"1987.05",-,-,-,1.0,-,-,-,3.8,-,-,-,3.3
"1987.06",-,-,-,0.0,-,-,-,2.9,-,-,-,3.2
"1987.07",-,-,-,-0.1,-,-,-,2.4,-,-,-,3.1
"1987.08",-,-,-,0.1,-,-,-,2.5,-,-,-,3.0
"1987.09",-,-,-,0.2,-,-,-,2.4,-,-,-,3.0
"1987.10",-,-,-,0.5,-,-,-,3.3,-,-,-,3.0
"1987.11",-,-,-,0.0,-,-,-,3.2,-,-,-,3.0
"1987.12",-,-,-,0.0,-,-,-,3.2,-,-,-,3.0
"1988.01",-,-,-,0.2,-,-,-,3.2,-,-,-,3.2
"1988.02",-,-,-,1.5,-,-,-,4.5,-,-,-,3.8
"1988.03",-,-,-,1.6,-,-,-,5.6,-,-,-,4.4
"1988.04",-,-,-,0.5,-,-,-,5.6,-,-,-,4.7
"1988.05",-,-,-,0.7,-,-,-,5.3,-,-,-,4.8
"1988.06",-,-,-,0.7,-,-,-,6.0,-,-,-,5.0
"1988.07",-,-,-,0.2,-,-,-,6.4,-,-,-,5.2
"1988.08",-,-,-,0.4,-,-,-,6.7,-,-,-,5.4
"1988.09",-,-,-,0.6,-,-,-,7.1,-,-,-,5.6
"1988.10",-,-,-,0.3,-,-,-,6.9,-,-,-,5.7
"1988.11",-,-,-,0.7,-,-,-,7.6,-,-,-,5.9
"1988.12",-,-,-,0.4,-,-,-,8.1,-,-,-,6.1
"1989.01",-,-,-,0.1,-,-,-,7.9,-,-,-,7.9
"1989.02",-,-,-,0.4,-,-,-,6.8,-,-,-,7.4
"1989.03",-,-,-,0.5,-,-,-,5.7,-,-,-,6.8
"1989.04",-,-,-,0.8,-,-,-,5.9,-,-,-,6.6
"1989.05",-,-,-,0.8,-,-,-,6.0,-,-,-,6.5
"1989.06",-,-,-,0.5,-,-,-,5.9,-,-,-,6.4
"1989.07",-,-,-,0.5,-,-,-,6.2,-,-,-,6.4
"1989.08",-,-,-,0.1,-,-,-,5.9,-,-,-,6.3
"1989.09",-,-,-,0.4,-,-,-,5.7,-,-,-,6.2
"1989.10",-,-,-,0.2,-,-,-,5.5,-,-,-,6.2
"1989.11",-,-,-,0.7,-,-,-,5.6,-,-,-,6.1
"1989.12",-,-,-,0.2,-,-,-,5.4,-,-,-,6.0
"1990.01",-,-,-,2.1,-,-,-,7.6,-,-,-,7.6
"1990.02",-,0.3,0.6,0.6,-,-,-,7.8,-,-,-,7.7
"1990.03",-,-1.4,1.4,1.1,-,-,-,8.5,-,-,-,8.0
"1990.04",-,6.0,0.7,0.8,-,-,-,8.5,-,-,-,8.1
"1990.05",-,1.0,0.8,1.1,-,-,-,8.9,-,-,-,8.3
"1990.06",-,-1.3,0.7,0.7,-,-,-,9.0,-,-,-,8.4
"1990.07",-,3.1,0.3,0.1,-,-,-,8.6,-,-,-,8.4
"1990.08",-,3.8,0.3,0.1,-,-,-,8.5,-,-,-,8.4
"1990.09",-,3.0,0.1,0.5,-,-,-,8.6,-,-,-,8.5
"1990.10",-,-0.7,0.4,0.2,-,-,-,8.7,-,-,-,8.5
"1990.11",-,-3.2,0.5,0.2,-,-,-,8.2,-,-,-,8.5
"1990.12",-,-0.6,0.3,0.4,-,-,-,8.3,-,-,-,8.4
"1991.01",-,5.5,2.1,1.9,-,16.0,8.4,8.1,-,16.0,8.4,8.1
"1991.02",-,4.1,1.0,1.1,-,20.4,9.0,8.7,-,18.2,8.7,8.4
"1991.03",-,4.2,1.3,0.9,-,27.1,8.8,8.4,-,21.2,8.7,8.4
"1991.04",-,2.0,0.5,0.3,-,22.4,8.6,7.9,-,21.5,8.7,8.3
"1991.05",-,-2.9,0.6,0.5,-,17.7,8.4,7.3,-,20.7,8.7,8.1
"1991.06",-,0.4,0.7,0.8,-,19.7,8.5,7.4,-,20.5,8.6,8.0
"1991.07",-,-1.1,0.7,0.9,-,14.9,9.0,8.3,-,19.7,8.7,8.0
"1991.08",-,6.8,0.2,0.4,-,18.3,9.0,8.6,-,19.5,8.7,8.1
"1991.09",-,1.0,0.2,0.5,-,16.0,9.1,8.6,-,19.1,8.8,8.1
"1991.10",-,-1.5,0.5,0.3,-,15.1,9.2,8.6,-,18.6,8.8,8.2
"1991.11",-,0.9,0.6,0.5,-,20.0,9.3,8.9,-,18.8,8.9,8.3
"1991.12",-,1.4,0.2,0.2,-,22.4,9.3,8.7,-,19.1,8.9,8.3
"1992.01",-,3.3,0.6,0.5,-,19.8,7.7,7.1,-,19.8,7.7,7.1
"1992.02",-,0.4,0.7,0.7,-,15.5,7.3,6.6,-,17.6,7.5,6.9
"1992.03",-,-1.7,1.6,1.2,-,9.0,7.6,6.9,-,14.6,7.5,6.9
"1992.04",-,0.9,0.4,0.6,-,7.8,7.4,7.2,-,12.8,7.5,7.0
"1992.05",-,1.3,0.5,0.6,-,12.5,7.3,7.2,-,12.8,7.5,7.0
"1992.06",-,-1.9,0.1,0.2,-,9.8,6.6,6.6,-,12.3,7.3,6.9
"1992.07",-,-3.4,0.1,0.3,-,7.2,5.9,5.9,-,11.5,7.1,6.8
"1992.08",-,2.3,0.0,0.1,-,2.7,5.7,5.6,-,10.4,6.9,6.6
"1992.09",-,3.2,0.2,0.3,-,4.9,5.6,5.5,-,9.7,6.8,6.5
"1992.10",-,-3.6,0.3,0.2,-,2.7,5.5,5.4,-,9.0,6.6,6.4
"1992.11",-,-8.4,0.2,0.2,-,-6.7,5.1,5.1,-,7.5,6.5,6.3
"1992.12",-,-0.3,0.2,0.2,-,-8.3,5.1,5.2,-,6.1,6.4,6.2
"1993.01",-,3.6,0.7,0.5,-,-8.0,5.2,5.2,-,-8.0,5.2,5.2
"1993.02",-,-0.7,0.9,0.7,-,-9.0,5.4,5.3,-,-8.5,5.3,5.3
"1993.03",-,0.4,1.5,1.3,-,-7.0,5.3,5.4,-,-8.0,5.3,5.3
"1993.04",-,0.8,0.4,0.5,-,-7.1,5.4,5.3,-,-7.8,5.3,5.3
"1993.05",-,2.4,0.3,0.2,-,-6.1,5.3,4.9,-,-7.4,5.3,5.2
"1993.06",-,3.6,0.2,0.5,-,-0.9,5.4,5.2,-,-6.4,5.3,5.2
"1993.07",-,-1.9,0.1,0.1,-,0.8,5.4,5.1,-,-5.4,5.3,5.2
"1993.08",-,2.7,0.1,0.3,-,1.1,5.5,5.2,-,-4.6,5.3,5.2
"1993.09",-,3.4,0.0,0.2,-,1.3,5.2,5.1,-,-3.9,5.3,5.2
"1993.10",-,3.3,0.4,0.2,-,8.6,5.3,5.1,-,-2.7,5.3,5.2
"1993.11",-,-2.2,0.0,0.1,-,16.0,5.1,5.0,-,-1.1,5.3,5.2
"1993.12",-,3.9,0.2,0.3,-,20.8,5.1,5.0,-,0.5,5.3,5.2
"1994.01",-,3.9,1.1,1.0,-,21.1,5.5,5.5,-,21.1,5.5,5.5
"1994.02",-,6.1,1.0,0.8,-,29.4,5.6,5.6,-,25.2,5.5,5.5
"1994.03",-,1.2,1.1,0.8,-,30.5,5.1,5.0,-,27.0,5.4,5.4
"1994.04",-,-1.5,0.3,0.3,-,27.5,5.0,4.8,-,27.1,5.3,5.2
"1994.05",-,-1.4,0.4,0.3,-,22.7,5.1,5.0,-,26.2,5.3,5.2
"1994.06",-,-1.1,0.7,1.0,-,17.1,5.6,5.6,-,24.6,5.3,5.2
"1994.07",-,6.7,0.3,0.3,-,27.3,5.9,5.7,-,25.0,5.4,5.3
"1994.08",-,7.2,0.3,0.0,-,33.0,6.1,5.4,-,26.0,5.5,5.3
"1994.09",-,-1.1,-0.1,-0.3,-,27.1,6.0,4.8,-,26.2,5.5,5.3
"1994.10",-,-4.4,0.1,0.0,-,17.6,5.6,4.6,-,25.2,5.5,5.2
"1994.11",-,-0.2,0.3,0.2,-,20.0,5.9,4.8,-,24.7,5.6,5.2
"1994.12",-,-0.4,0.1,0.2,-,15.1,5.8,4.7,-,23.8,5.6,5.1
