"지역별(1)","지역별(2)","지역별(3)",상품군별(1),상품군별(2),판매유형별(1),2017.1/4,2017.2/4,2017.3/4,2017.4/4,2018.1/4,2018.2/4,2018.3/4,2018.4/4,2019.1/4,2019.2/4,2019.3/4,2019.4/4,2020.1/4,2020.2/4,2020.3/4,2020.4/4,2021.1/4,2021.2/4,2021.3/4,2021.4/4,2022.1/4,2022.2/4,2022.3/4,2022.4/4,2023.1/4,2023.2/4,2023.3/4,2023.4/4,2024.1/4,2024.2/4 p)
"유럽","유럽연합+영국","유럽연합",음반·비디오·악기,소계,면세점 이외,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1292,5178,10585,1913,569,979
"유럽","유럽연합+영국","유럽연합",의류 및 패션 관련 상품,소계,면세점 이외,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,419,520,502,498,760,691
"유럽","유럽연합+영국","유럽연합",스포츠·레저용품,소계,면세점 이외,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,299,11,8,10,12,7
"유럽","유럽연합+영국","유럽연합",화장품,소계,면세점 이외,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,211,265,270,355,694,621
"유럽","유럽연합+영국","유럽연합",아동·유아용품,소계,면세점 이외,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,14,15,18,6,5
"유럽","유럽연합+영국","유럽연합",음·식료품,소계,면세점 이외,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,7,4,5,6,4
"유럽","유럽연합+영국","유럽연합",농축수산물,소계,면세점 이외,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0
"유럽","유럽연합+영국","유럽연합",생활·자동차용품,소계,면세점 이외,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,7,40,54,90,87
"유럽","유럽연합+영국","유럽연합",기 타,소계,면세점 이외,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60,181,105,144,131,166
"유럽","유럽연합+영국","영국",컴퓨터 및 주변기기,소계,면세점 이외,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,123,80,56,62,577,776
"유럽","유럽연합+영국","영국",가전·전자·통신기기,소계,면세점 이외,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37,112,52,76,38,122
"유럽","유럽연합+영국","영국",가전·전자·통신기기,가전·전자,면세점 이외,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,31,107,52,76,38,122
"유럽","유럽연합+영국","영국",가전·전자·통신기기,통신기기,면세점 이외,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,5,0,0,0,0
"유럽","유럽연합+영국","영국",소프트웨어,소계,면세점 이외,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,0,0,0,0,0
"유럽","유럽연합+영국","영국",서 적,소계,면세점 이외,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,33,28,30,31,30,24
"유럽","유럽연합+영국","영국",사무·문구,소계,면세점 이외,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24,2,1,34,48,73
"유럽","유럽연합+영국","영국",음반·비디오·악기,소계,면세점 이외,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,689,738,507,588,243,454
"유럽","유럽연합+영국","영국",의류 및 패션 관련 상품,소계,면세점 이외,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,228,313,149,270,337,471
"유럽","유럽연합+영국","영국",스포츠·레저용품,소계,면세점 이외,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,5,5,2,4,3
"유럽","유럽연합+영국","영국",화장품,소계,면세점 이외,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,45,73,233,173,127,590
"유럽","유럽연합+영국","영국",아동·유아용품,소계,면세점 이외,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,4,7,8,2,3
"유럽","유럽연합+영국","영국",음·식료품,소계,면세점 이외,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27,18,4,16,19,13
"유럽","유럽연합+영국","영국",농축수산물,소계,면세점 이외,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0
"유럽","유럽연합+영국","영국",생활·자동차용품,소계,면세점 이외,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,3,1,30,24,31
"유럽","유럽연합+영국","영국",기 타,소계,면세점 이외,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,41,86,46,83,83,147
"유럽","기타 유럽","소계",컴퓨터 및 주변기기,소계,면세점 이외,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,33,59,23,48,29,308
"유럽","기타 유럽","소계",가전·전자·통신기기,소계,면세점 이외,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,5,10,2,1
"유럽","기타 유럽","소계",가전·전자·통신기기,가전·전자,면세점 이외,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,5,10,2,1
"유럽","기타 유럽","소계",가전·전자·통신기기,통신기기,면세점 이외,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0
"유럽","기타 유럽","소계",소프트웨어,소계,면세점 이외,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0
"유럽","기타 유럽","소계",서 적,소계,면세점 이외,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,3,11,57,7,5
"유럽","기타 유럽","소계",사무·문구,소계,면세점 이외,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,0,13,6,39
"유럽","기타 유럽","소계",음반·비디오·악기,소계,면세점 이외,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,120,257,238,329,96,169
"유럽","기타 유럽","소계",의류 및 패션 관련 상품,소계,면세점 이외,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,93,221,157,43,86,34
"유럽","기타 유럽","소계",스포츠·레저용품,소계,면세점 이외,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,121,2,2,1,4,13
"유럽","기타 유럽","소계",화장품,소계,면세점 이외,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,187,127,119,104,187,146
"유럽","기타 유럽","소계",아동·유아용품,소계,면세점 이외,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,40,17,56,0,0,62
"유럽","기타 유럽","소계",음·식료품,소계,면세점 이외,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,2
"유럽","기타 유럽","소계",농축수산물,소계,면세점 이외,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0
"유럽","기타 유럽","소계",생활·자동차용품,소계,면세점 이외,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,5,1,21,68,5
"유럽","기타 유럽","소계",기 타,소계,면세점 이외,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,22,8,13,6,36
"대양주","소계","소계",컴퓨터 및 주변기기,소계,면세점 이외,240,153,232,151,157,107,117,92,78,62,58,56,93,73,96,56,70,87,81,32,11,14,62,50,80,58,37,28,62,35
"대양주","소계","소계",가전·전자·통신기기,소계,면세점 이외,1255,1366,1476,1249,1290,1189,1108,1105,806,703,523,296,339,1030,1317,1139,966,830,873,332,31,29,22,18,48,35,21,20,18,13
"대양주","소계","소계",가전·전자·통신기기,가전·전자,면세점 이외,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,42,35,18,20,18,13
"대양주","소계","소계",가전·전자·통신기기,통신기기,면세점 이외,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,0,3,0,0,0
"대양주","소계","소계",소프트웨어,소계,면세점 이외,6,17,28,21,11,12,10,7,7,6,3,4,4,6,5,5,5,5,8,2,0,0,0,0,9,0,0,0,0,0
"대양주","소계","소계",서 적,소계,면세점 이외,68,57,106,89,66,97,106,81,62,81,48,81,73,92,121,81,91,100,130,130,97,110,93,80,94,119,144,171,89,103
"대양주","소계","소계",사무·문구,소계,면세점 이외,11,7,9,5,7,3,6,5,6,6,2,11,5,7,4,5,5,8,21,29,15,23,11,9,4,3,3,43,16,38
"대양주","소계","소계",음반·비디오·악기,소계,면세점 이외,219,200,303,330,290,356,418,440,354,481,318,387,308,371,553,568,553,512,614,402,222,383,249,153,538,784,707,798,228,507
"대양주","소계","소계",의류 및 패션 관련 상품,소계,면세점 이외,736,710,731,534,720,776,609,605,620,630,571,639,475,911,1081,1279,1065,1170,1228,1297,1126,1264,1364,1137,718,780,825,792,631,973
"대양주","소계","소계",스포츠·레저용품,소계,면세점 이외,151,128,149,134,125,122,119,100,102,95,199,79,77,95,195,323,248,87,479,227,203,12,13,202,196,5,4,3,6,3
"대양주","소계","소계",화장품,소계,면세점 이외,1338,1061,1202,1020,979,1034,1006,886,820,824,629,1084,713,659,617,470,465,431,489,241,117,83,68,52,38,33,49,84,97,187
"대양주","소계","소계",아동·유아용품,소계,면세점 이외,181,205,234,288,187,176,164,159,120,135,82,144,141,129,119,95,96,82,122,68,36,17,16,12,15,20,13,10,5,5
"대양주","소계","소계",음·식료품,소계,면세점 이외,23,47,39,19,21,26,35,21,19,24,19,17,385,14,3,1,4,9,13,7,2,4,9,7,6,7,6,19,14,8
"대양주","소계","소계",농축수산물,소계,면세점 이외,0,0,0,0,1,4,4,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"대양주","소계","소계",생활·자동차용품,소계,면세점 이외,528,561,548,448,438,446,430,350,342,345,229,310,286,322,343,247,283,289,282,120,38,24,25,16,17,11,13,28,49,54
"대양주","소계","소계",기 타,소계,면세점 이외,257,224,251,256,261,215,216,205,210,207,114,142,270,195,248,210,278,234,280,129,342,66,160,73,39,67,62,57,44,61
"중남미","소계","소계",컴퓨터 및 주변기기,소계,면세점 이외,84,59,131,70,56,42,54,66,56,59,58,61,42,97,154,69,58,146,115,35,13,16,21,95,198,84,124,63,94,104
"중남미","소계","소계",가전·전자·통신기기,소계,면세점 이외,283,381,438,257,208,160,229,264,237,240,203,299,184,238,257,233,186,168,143,72,17,46,20,39,30,50,24,27,12,17
"중남미","소계","소계",가전·전자·통신기기,가전·전자,면세점 이외,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,16,19,19,11,15
"중남미","소계","소계",가전·전자·통신기기,통신기기,면세점 이외,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,34,5,8,1,2
"중남미","소계","소계",소프트웨어,소계,면세점 이외,5,13,26,9,6,4,4,5,4,7,2,4,4,4,3,4,2,3,4,1,0,0,0,0,0,0,0,0,0,0
"중남미","소계","소계",서 적,소계,면세점 이외,38,24,58,66,56,90,125,136,141,184,115,206,160,3,6,19,103,66,67,129,85,187,118,35,76,43,69,125,52,47
"중남미","소계","소계",사무·문구,소계,면세점 이외,4,3,189,1,1,0,1,0,0,0,0,0,0,1,1,1,0,4,11,10,4,7,4,7,6,5,12,105,34,137
"중남미","소계","소계",음반·비디오·악기,소계,면세점 이외,422,398,815,787,667,906,1332,1422,1107,1594,980,1204,1183,1332,1628,2278,1107,1064,1032,855,539,1469,884,745,1506,1490,1717,1542,521,994
"중남미","소계","소계",의류 및 패션 관련 상품,소계,면세점 이외,157,153,304,158,139,123,156,158,151,157,112,124,114,107,142,251,162,194,189,105,53,93,30,34,20,28,26,36,23,20
"중남미","소계","소계",스포츠·레저용품,소계,면세점 이외,97,98,58,90,117,88,86,89,90,91,60,63,49,34,51,49,30,44,29,17,0,1,1,0,3,8,0,1,3,1
"중남미","소계","소계",화장품,소계,면세점 이외,475,479,424,472,457,452,528,647,636,667,482,638,414,170,200,170,170,125,131,77,44,123,66,31,29,27,26,29,38,33
"중남미","소계","소계",아동·유아용품,소계,면세점 이외,59,67,69,61,58,56,59,67,59,67,54,85,51,33,32,35,44,58,36,16,6,4,4,9,21,21,12,15,5,5
"중남미","소계","소계",음·식료품,소계,면세점 이외,2,0,1,0,1,0,1,0,0,0,0,0,774,0,0,0,0,0,0,4,2,0,4,2,1,0,0,1,0,0
"중남미","소계","소계",농축수산물,소계,면세점 이외,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"중남미","소계","소계",생활·자동차용품,소계,면세점 이외,522,545,392,488,504,512,469,428,457,462,305,916,334,295,394,338,321,352,277,118,9,7,14,13,34,18,13,32,67,51
"중남미","소계","소계",기 타,소계,면세점 이외,133,130,143,147,129,168,165,178,155,152,90,147,137,145,208,135,136,170,174,62,7,24,53,40,18,50,91,52,42,94
"아프리카","소계","소계",컴퓨터 및 주변기기,소계,면세점 이외,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,38,12,8,9,28
"아프리카","소계","소계",가전·전자·통신기기,소계,면세점 이외,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19,20,7,3,11,5
"아프리카","소계","소계",가전·전자·통신기기,가전·전자,면세점 이외,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,1,1,2,1
"아프리카","소계","소계",가전·전자·통신기기,통신기기,면세점 이외,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18,20,6,2,9,4
"아프리카","소계","소계",소프트웨어,소계,면세점 이외,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0
"아프리카","소계","소계",서 적,소계,면세점 이외,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0
"아프리카","소계","소계",사무·문구,소계,면세점 이외,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,1,0,1
"아프리카","소계","소계",음반·비디오·악기,소계,면세점 이외,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18,18,19,32,8,16
"아프리카","소계","소계",의류 및 패션 관련 상품,소계,면세점 이외,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,0,2,2,0
"아프리카","소계","소계",스포츠·레저용품,소계,면세점 이외,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,0,1,1,0,0
"아프리카","소계","소계",화장품,소계,면세점 이외,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,30,32,81,58,125
"아프리카","소계","소계",아동·유아용품,소계,면세점 이외,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0
"아프리카","소계","소계",음·식료품,소계,면세점 이외,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0
"아프리카","소계","소계",농축수산물,소계,면세점 이외,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0
"아프리카","소계","소계",생활·자동차용품,소계,면세점 이외,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,1,1,2
"아프리카","소계","소계",기 타,소계,면세점 이외,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,1,0,0,1
"기타","소계","소계",컴퓨터 및 주변기기,소계,면세점 이외,297,186,214,177,1509,1113,1474,1248,1146,1330,1190,1385,1576,1370,1213,1494,1551,1612,1491,1597,1645,1879,836,230,-,-,-,-,-,-
"기타","소계","소계",가전·전자·통신기기,소계,면세점 이외,899,818,786,640,595,415,452,385,418,396,342,469,389,366,619,342,267,210,291,171,117,118,126,127,-,-,-,-,-,-
"기타","소계","소계",가전·전자·통신기기,가전·전자,면세점 이외,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"기타","소계","소계",가전·전자·통신기기,통신기기,면세점 이외,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"기타","소계","소계",소프트웨어,소계,면세점 이외,6,22,38,34,9,46,41,6,5,9,4,11,8,4,3,6,6,6,4,1,0,0,0,0,-,-,-,-,-,-
"기타","소계","소계",서 적,소계,면세점 이외,243,136,579,890,1165,1112,1508,1349,1031,1615,720,1218,1362,1351,868,982,2530,1585,1747,731,634,268,127,95,-,-,-,-,-,-
"기타","소계","소계",사무·문구,소계,면세점 이외,35,38,26,29,33,30,26,30,32,25,16,22,45,78,32,32,18,28,61,43,48,38,21,26,-,-,-,-,-,-
"기타","소계","소계",음반·비디오·악기,소계,면세점 이외,250,179,256,252,328,300,327,320,307,372,244,336,354,275,299,482,3837,8110,4477,3190,1603,1191,340,592,-,-,-,-,-,-
"기타","소계","소계",의류 및 패션 관련 상품,소계,면세점 이외,950,892,755,681,990,1018,880,1307,1294,1559,1046,1472,1177,1871,1777,1676,1755,2475,2075,2004,1988,1222,961,1068,-,-,-,-,-,-
"기타","소계","소계",스포츠·레저용품,소계,면세점 이외,128,113,101,124,184,165,124,131,154,143,93,132,103,143,218,291,269,127,126,234,182,84,68,174,-,-,-,-,-,-
"기타","소계","소계",화장품,소계,면세점 이외,2094,1979,1701,1884,2598,2415,2089,3381,3998,4168,3200,4802,10022,1709,2374,1467,1344,1362,1161,1543,1422,695,478,709,-,-,-,-,-,-
"기타","소계","소계",아동·유아용품,소계,면세점 이외,175,126,129,171,169,132,727,520,229,182,91,187,145,285,627,589,1016,690,932,777,1224,1049,505,504,-,-,-,-,-,-
"기타","소계","소계",음·식료품,소계,면세점 이외,27,24,26,32,54,42,52,84,251,249,125,177,1370,117,34,75,71,84,69,34,160,9,9,12,-,-,-,-,-,-
"기타","소계","소계",농축수산물,소계,면세점 이외,1,0,0,1,3,0,0,0,0,0,0,2,2,3,1,3,1,0,0,0,10,0,0,0,-,-,-,-,-,-
"기타","소계","소계",생활·자동차용품,소계,면세점 이외,662,601,581,634,665,469,504,589,465,488,308,531,384,334,354,392,348,304,386,1093,276,180,89,65,-,-,-,-,-,-
"기타","소계","소계",기 타,소계,면세점 이외,885,747,734,835,795,747,716,770,711,688,469,1093,939,710,826,870,833,1241,1121,1072,2341,837,312,236,-,-,-,-,-,-
